,ruleId,severity,message,line,column,nodeType,messageId,endLine,endColumn,filePath
484,complexity,2,Function 'Fn' has a complexity of 4. Maximum allowed is 1.,7,55089,FunctionDeclaration,complex,7,55359,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
485,complexity,2,Function 'Pn' has a complexity of 5. Maximum allowed is 1.,7,55359,FunctionDeclaration,complex,7,55661,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
486,complexity,2,Function 'En' has a complexity of 2. Maximum allowed is 1.,7,55661,FunctionDeclaration,complex,7,56063,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
487,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,56070,FunctionExpression,complex,7,56551,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
488,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,56331,FunctionExpression,complex,7,56384,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
489,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,56400,FunctionExpression,complex,7,56455,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
490,complexity,2,Function has a complexity of 12. Maximum allowed is 1.,7,56572,FunctionExpression,complex,7,57356,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
491,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,57384,FunctionExpression,complex,7,57529,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
492,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,57556,FunctionExpression,complex,7,57693,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
493,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,57721,FunctionExpression,complex,7,57921,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
